"zona","provincia","maxabs","minabs","brecha_sc","count.sc","municipio","provincianombre"
"05102","05",21.1,19.8,1.3,2,"Hoyo de Pinares, El","Ávila"
"13098","13",21.7,20.4,1.3,3,"Viso del Marqués","Ciudad Real"
"24157","24",24.3,23,1.3,2,"Santa María del Páramo","León"
"18029","18",24.9,23.6,1.3,2,"Benamaurel","Granada"
"32043","32",24.9,23.6,1.3,2,"Maceda","Ourense"
"21077","21",25.2,23.9,1.3,2,"Villarrasa","Huelva"
"15076","15",26.7,25.4,1.3,3,"San Sadurniño","Coruña, A"
"10105","10",28.4,27.1,1.3,2,"Jarandilla de la Vera","Cáceres"
"50068","50",28.7,27.4,1.3,2,"Calatorao","Zaragoza"
"04074","04",29.5,28.2,1.3,2,"Pechina","Almería"
"45145","45",30.1,28.8,1.3,2,"Recas","Toledo"
"05240","05",35.2,33.9,1.3,2,"Sotillo de la Adrada","Ávila"
"17008","17",37,35.7,1.3,3,"Anglès","Girona"
"20903","20",37.1,35.8,1.3,3,"Astigarraga","Gipuzkoa"
"20903","20",37.1,35.8,1.3,3,"Astigarraga","Gipuzcoa"
"44153","44",39.7,38.4,1.3,2,"Monreal del Campo","Teruel"
"23052","23",10.9,9.5,1.4,2,"Jimena","Jaén"
"06087","06",12.8,11.4,1.4,3,"Monterrubio de la Serena","Badajoz"
"06063","06",14.9,13.5,1.4,3,"Herrera del Duque","Badajoz"
"06033","06",15.3,13.9,1.4,2,"Casas de Don Pedro","Badajoz"
"41037","41",15.7,14.3,1.4,2,"Corrales, Los","Sevilla"
"45115","45",16.7,15.3,1.4,2,"Noblejas","Toledo"
"29010","29",17.3,15.9,1.4,2,"Almargen","Málaga"
"15038","15",20.6,19.2,1.4,2,"Frades","Coruña, A"
"47112","47",21.2,19.8,1.4,2,"Pedrajas de San Esteban","Valladolid"
"41074","41",22.9,21.5,1.4,2,"Peñaflor","Sevilla"
"04057","04",24.8,23.4,1.4,2,"Láujar de Andarax","Almería"
"36010","36",26,24.6,1.4,2,"Catoira","Pontevedra"
"45021","45",27.2,25.8,1.4,2,"Borox","Toledo"
"40155","40",34.2,32.8,1.4,2,"Palazuelos de Eresma","Segovia"
"08905","08",34.8,33.4,1.4,2,"Palma de Cervelló, La","Barcelona"
"08029","08",37.1,35.7,1.4,2,"Cabrera de Mar","Barcelona"
"32091","32",10.3,8.8,1.5,2,"Vilardevós","Ourense"
"46107","46",15.3,13.8,1.5,2,"Chella","Valencia/Valéncia"
"14014","14",18.2,16.7,1.5,2,"Cañete de las Torres","Córdoba"
"27046","27",18.4,16.9,1.5,2,"Pol","Lugo"
"12012","12",18.5,17,1.5,3,"Altura","Castellón/Castelló"
"03109","03",19.6,18.1,1.5,2,"Rafal","Alicante"
"47122","47",20.1,18.6,1.5,2,"Portillo","Valladolid"
"04045","04",22.5,21,1.5,3,"Fiñana","Almería"
"02008","02",23,21.5,1.5,2,"Alcaraz","Albacete"
"39019","39",23.4,21.9,1.5,2,"Castañeda","Cantabria"
"46113","46",25,23.5,1.5,2,"Daimús","Valencia/Valéncia"
"45016","45",27.4,25.9,1.5,3,"Argés","Toledo"
"06005","06",29.4,27.9,1.5,2,"Albuera, La","Badajoz"
"24148","24",29.6,28.1,1.5,2,"San Justo de la Vega","León"
"40057","40",14.7,13.1,1.6,2,"Coca","Segovia"
"06109","06",15.1,13.5,1.6,4,"Quintana de la Serena","Badajoz"
"30014","30",15.5,13.9,1.6,2,"Campos del Río","Murcia"
"41082","41",15.9,14.3,1.6,3,"Roda de Andalucía, La","Sevilla"
"46128","46",16,14.4,1.6,2,"Font de la Figuera, la","Valencia/Valéncia"
"45125","45",18.2,16.6,1.6,2,"Oropesa","Toledo"
"36901","36",18.6,17,1.6,3,"Illa de Arousa, A","Pontevedra"
"14045","14",19,17.4,1.6,3,"Moriles","Córdoba"
"16249","16",19.5,17.9,1.6,2,"Villamayor de Santiago","Cuenca"
"06162","06",21.2,19.6,1.6,3,"Zarza, La","Badajoz"
"10109","10",21.2,19.6,1.6,3,"Logrosán","Cáceres"
"10018","10",22.5,20.9,1.6,2,"Aliseda","Cáceres"
"27050","27",22.7,21.1,1.6,2,"Quiroga","Lugo"
"26064","26",24.4,22.8,1.6,2,"Fuenmayor","Rioja, La"
"10212","10",25.5,23.9,1.6,2,"Villanueva de la Vera","Cáceres"
"14008","14",26.7,25.1,1.6,4,"Belalcázar","Córdoba"
"07001","07",27,25.4,1.6,3,"Alaró","Balears, Illes"
"04038","04",29.8,28.2,1.6,2,"Dalías","Almería"
"33069","33",30.6,29,1.6,4,"Soto del Barco","Asturias"
"25013","25",33.3,31.7,1.6,2,"Alfarràs","Lleida"
"48089","48",35.1,33.5,1.6,2,"Urduliz","Bizkaia"
"08175","08",38.1,36.5,1.6,3,"Puig-reig","Barcelona"
