provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona,show
Castellón/Castelló,12,42.5,22.5,20,34,Vila-real,m12135
"Coruña, A",15,44.3,24.3,20,5,Brión,m15013
Jaén,23,49,29,20,26,Andújar,m23005
Alicante,3,45.1,25.2,19.9,3,San Miguel de Salinas,m3120
Tarragona,43,45.8,25.9,19.9,6,Alcanar,m43004
Valencia/Valéncia,46,40,20.2,19.8,4,Vilamarxant,m46256
Bizkaia,48,48.1,28.3,19.8,23,Galdakao,m48036
Barcelona,8,55.5,35.7,19.8,22,Montcada i Reixac,m8125
Huelva,21,39.9,20.2,19.7,7,Gibraleón,m21035
Madrid,28,45.8,26.1,19.7,32,Aranjuez,m28013
Zaragoza,50,48.3,28.6,19.7,14,Calatayud,m50067
Granada,18,53.2,33.5,19.7,34,Motril,m18140
Cádiz,11,56.8,37.1,19.7,20,Rota,m11030
Murcia,30,44.6,25,19.6,15,Mula,m30029
Barcelona,8,55.8,36.2,19.6,14,Santa Perpètua de Mogoda,m8260
Sevilla,41,54.7,35.2,19.5,15,San Juan de Aznalfarache,m41086
Girona,17,56.6,37.1,19.5,22,Blanes,m17023
"Palmas, Las",35,42,22.6,19.4,19,Agüimes,m35002
Barcelona,8,52.9,33.5,19.4,4,Vacarisses,m8291
Sevilla,41,55.4,36,19.4,26,Mairena del Aljarafe,m41059
Barcelona,8,56.6,37.2,19.4,52,Manresa,m8113
Barcelona,8,60.6,41.2,19.4,10,Cubelles,m8074
Tarragona,43,37.7,18.5,19.2,4,Vandellòs i l'Hospitalet de l'Infant,m43162
Málaga,29,47.8,28.6,19.2,29,Antequera,m29015
Castellón/Castelló,12,48.4,29.2,19.2,4,Oropesa del Mar/Orpesa,m12085
Granada,18,49.5,30.4,19.1,7,Pinos Puente,m18158
Málaga,29,57.9,38.8,19.1,14,Cártama,m29038
Navarra,31,45.1,26.1,19,10,Estella/Lizarra,m31097
Cádiz,11,44.1,25.2,18.9,23,Arcos de la Frontera,m11006
Cantabria,39,44.8,25.9,18.9,13,"Astillero, El",m39008
Sevilla,41,46.5,27.6,18.9,24,"Palacios y Villafranca, Los",m41069
Gipuzkoa,20,47.3,28.4,18.9,23,Eibar,m20030
Gipuzcoa,20,47.3,28.4,18.9,23,Eibar,m20030
Girona,17,52.2,33.3,18.9,4,Caldes de Malavella,m17033
Asturias,33,54.8,35.9,18.9,10,Valdés,m33034
Castellón/Castelló,12,46.5,27.7,18.8,17,Vinaròs,m12138
Murcia,30,50.6,31.8,18.8,20,"Torres de Cotillas, Las",m30038
Girona,17,51.4,32.6,18.8,12,Banyoles,m17015
Asturias,33,49.9,31.2,18.7,38,Siero,m33066
Sevilla,41,58.9,40.2,18.7,21,Morón de la Frontera,m41065
Santa Cruz de Tenerife,38,39,20.4,18.6,25,"Realejos, Los",m38031
Castellón/Castelló,12,40.9,22.3,18.6,14,Onda,m12084
Murcia,30,46.7,28.2,18.5,23,Jumilla,m30022
Granada,18,47.2,28.7,18.5,4,Otura,m18149
"Coruña, A",15,49.8,31.3,18.5,21,Oleiros,m15058
Bizkaia,48,52.8,34.3,18.5,87,Barakaldo,m48013
Castellón/Castelló,12,42.2,23.8,18.4,3,Peníscola/Peñíscola,m12089
Sevilla,41,45.5,27.1,18.4,10,"Cabezas de San Juan, Las",m41020
Barcelona,8,50,31.6,18.4,51,Sant Cugat del Vallès,m8205
"Coruña, A",15,53.5,35.1,18.4,63,Ferrol,m15036
Córdoba,14,40.3,22,18.3,3,Espiel,m14026
Murcia,30,46.4,28.1,18.3,30,Águilas,m30003
Ourense,32,48.8,30.5,18.3,80,Ourense,m32054
Gipuzkoa,20,50,31.7,18.3,12,Hondarribia,m20036
Gipuzcoa,20,50,31.7,18.3,12,Hondarribia,m20036
Barcelona,8,56.9,38.6,18.3,8,"Franqueses del Vallès, Les",m8086
"Balears, Illes",7,57.8,39.5,18.3,6,Son Servera,m7062
Valencia/Valéncia,46,34.8,16.6,18.2,2,Godelleta,m46136
Bizkaia,48,49.3,31.1,18.2,38,Basauri,m48015
Barcelona,8,50.1,31.9,18.2,15,Martorell,m8114
Barcelona,8,51.3,33.2,18.1,32,Cerdanyola del Vallès,m8266
Zaragoza,50,35.4,17.4,18,4,Zuera,m50298
Almería,4,39.9,21.9,18,2,Mojácar,m4064
León,24,49.5,31.5,18,5,Valverde de la Virgen,m24189
Málaga,29,52.7,34.7,18,24,Rincón de la Victoria,m29082
Madrid,28,41,23.1,17.9,49,"Rozas de Madrid, Las",m28127
Sevilla,41,43.3,25.4,17.9,17,Lora del Río,m41055
Ourense,32,43.8,25.9,17.9,5,"Pereiro de Aguiar, O",m32058
"Coruña, A",15,44.4,26.5,17.9,28,Carballo,m15019
Jaén,23,44.9,27,17.9,18,Martos,m23060
Huelva,21,47.6,29.7,17.9,13,Almonte,m21005
Barcelona,8,50,32.1,17.9,9,Sant Celoni,m8202
Huelva,21,50.9,33,17.9,10,Punta Umbría,m21060
Valencia/Valéncia,46,38.7,20.9,17.8,15,Cullera,m46105
Tarragona,43,53.8,36,17.8,3,Roda de Barà,m43131
Castellón/Castelló,12,37.9,20.2,17.7,4,Alcalà de Xivert,m12004
Lugo,27,45.6,28,17.6,14,Monforte de Lemos,m27031
Santa Cruz de Tenerife,38,46.8,29.2,17.6,12,"Rosario, El",m38032
Málaga,29,46.9,29.3,17.6,11,Alhaurín el Grande,m29008
Bizkaia,48,47.4,29.8,17.6,65,Getxo,m48044
Alicante,3,47.7,30.1,17.6,24,Dénia,m3063
Cádiz,11,50.4,32.8,17.6,18,San Roque,m11033
Huelva,21,39.2,21.7,17.5,5,San Juan del Puerto,m21064
Pontevedra,36,44.1,26.6,17.5,5,"Cañiza, A",m36009
Barcelona,8,53.6,36.1,17.5,11,Esparreguera,m8076
Granada,18,39.3,21.9,17.4,7,Illora,m18102
Pontevedra,36,43.7,26.3,17.4,20,Redondela,m36045
Valencia/Valéncia,46,33.9,16.6,17.3,11,Riba-roja de Túria,m46214
Valencia/Valéncia,46,40.3,23,17.3,19,Catarroja,m46094
Valencia/Valéncia,46,46.6,29.3,17.3,2,Montroy,m46176
"Rioja, La",26,48.4,31.1,17.3,14,Calahorra,m26036
Tarragona,43,58.4,41.1,17.3,12,Salou,m43905
Cuenca,16,43.3,26.1,17.2,36,Cuenca,m16078
Burgos,9,46.9,29.7,17.2,22,Aranda de Duero,m9018
Córdoba,14,47.2,30,17.2,15,Palma del Río,m14049
Gipuzkoa,20,50.6,33.4,17.2,42,Irun,m20045
Gipuzcoa,20,50.6,33.4,17.2,42,Irun,m20045
Barcelona,8,52.5,35.3,17.2,16,Premià de Mar,m8172
Burgos,9,40.2,23.1,17.1,2,Villadiego,m9427
"Balears, Illes",7,44.7,27.6,17.1,22,Marratxí,m7036
Barcelona,8,52,34.9,17.1,11,Olesa de Montserrat,m8147
Almería,4,58.1,41,17.1,47,Roquetas de Mar,m4079
Bizkaia,48,48.8,31.8,17,26,Sestao,m48084
Barcelona,8,50.5,33.5,17,12,Sant Quirze del Vallès,m8238
Badajoz,6,39.4,22.5,16.9,20,Almendralejo,m6011
Murcia,30,41.5,24.6,16.9,12,Abarán,m30002
Cantabria,39,45.1,28.2,16.9,147,Santander,m39075
Almería,4,28.6,11.8,16.8,3,Cantoria,m4031
Toledo,45,36.5,19.7,16.8,2,Escalona,m45061
