provincianombre,provincia,maxabs,minabs,brecha_sc,count.sc,municipio,zona,show
Cádiz,11,56.9,33.1,23.8,16,Barbate,m11007,dontshow
Alicante,3,53,29.3,23.7,11,Jávea/Xàbia,m3082,dontshow
Murcia,30,53.2,29.5,23.7,19,San Pedro del Pinatar,m30036,dontshow
Alicante,3,48.8,25.2,23.6,16,Mutxamel,m3090,dontshow
Córdoba,14,49.6,26,23.6,14,Baena,m14007,dontshow
Cádiz,11,67.3,43.7,23.6,45,Sanlúcar de Barrameda,m11032,dontshow
Córdoba,14,37.7,14.2,23.5,7,Fuente Palmera,m14030,dontshow
Girona,17,61.2,37.7,23.5,14,Lloret de Mar,m17095,dontshow
Girona,17,57.9,34.5,23.4,4,Maçanet de la Selva,m17103,dontshow
Murcia,30,53.6,30.3,23.3,26,Alcantarilla,m30005,dontshow
Málaga,29,61.2,37.9,23.3,38,Fuengirola,m29054,dontshow
Madrid,28,48.8,25.6,23.2,132,Móstoles,m28092,dontshow
"Las Palmas",35,50.8,27.6,23.2,67,Telde,m35026,dontshow
Zamora,49,53.8,30.6,23.2,15,Benavente,m49021,dontshow
Barcelona,8,58.9,35.7,23.2,70,Cornellà de Llobregat,m8073,dontshow
Málaga,29,59.4,36.2,23.2,10,Nerja,m29075,dontshow
Almería,4,67.2,44,23.2,49,"Ejido, El",m4902,dontshow
Alicante,3,42.6,19.5,23.1,9,Castalla,m3053,dontshow
Madrid,28,45.8,22.7,23.1,44,Majadahonda,m28080,dontshow
Murcia,30,50,26.9,23.1,9,"Alcázares, Los",m30902,dontshow
Castellón,12,42.3,19.3,23,24,Borriana/Burriana,m12032,dontshow
Asturias,33,51.4,28.4,23,70,Avilés,m33004,dontshow
Guadalajara,19,44.4,21.5,22.9,59,Guadalajara,m19130,dontshow
Madrid,28,47.2,24.3,22.9,118,Fuenlabrada,m28058,dontshow
Barcelona,8,58.4,35.5,22.9,28,Gavà,m8089,dontshow
Madrid,28,42.3,19.5,22.8,54,Coslada,m28049,dontshow
Asturias,33,53.7,30.9,22.8,38,Mieres,m33037,dontshow
Barcelona,8,56.8,34,22.8,26,Castelldefels,m8056,dontshow
