provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona
Jaén,23,13.2,11.5,1.7,2,Cárcheles,23901
Toledo,45,17.8,16.1,1.7,2,Velada,45181
Sevilla,41,19,17.3,1.7,2,Gilena,41046
Jaén,23,19.8,18.1,1.7,2,Guarromán,23039
Navarra,31,21.4,19.7,1.7,2,Puente la Reina/Gares,31206
Málaga,29,21.8,20.1,1.7,2,Villanueva de Algaidas,29095
Badajoz,6,22.2,20.5,1.7,2,Medellín,6080
"Balears, Illes",7,22.2,20.5,1.7,2,Campanet,7012
León,24,24.5,22.8,1.7,2,Sahagún,24139
Ourense,32,26.6,24.9,1.7,2,Nogueira de Ramuín,32052
Navarra,31,28.5,26.8,1.7,2,Aoiz/Agoitz,31019
"Coruña, A",15,29.7,28,1.7,5,Fisterra,15037
Zaragoza,50,32.8,31.1,1.7,2,San Mateo de Gállego,50235
Zaragoza,50,33.4,31.7,1.7,2,Illueca,50126
"Coruña, A",15,34.1,32.4,1.7,3,Lousame,15042
Barcelona,8,40.1,38.4,1.7,2,Canyelles,8043
Sevilla,41,50.6,48.9,1.7,2,"Molares, Los",41063
Castellón/Castelló,12,14.6,12.8,1.8,2,Sant Mateu,12100
Cantabria,39,17.2,15.4,1.8,2,Liérganes,39037
Tarragona,43,18.3,16.5,1.8,2,Batea,43022
Guadalajara,19,21.1,19.3,1.8,2,Mondéjar,19192
Jaén,23,22.7,20.9,1.8,3,Pegalajar,23067
Córdoba,14,22.9,21.1,1.8,2,Carcabuey,14015
Barcelona,8,23,21.2,1.8,2,"Pobla de Lillet, La",8166
Sevilla,41,24.4,22.6,1.8,3,"Luisiana, La",41056
León,24,25.1,23.3,1.8,2,Carracedelo,24038
Navarra,31,26.9,25.1,1.8,2,Olite/Erriberri,31191
Zaragoza,50,27,25.2,1.8,2,Maella,50152
Granada,18,27.4,25.6,1.8,3,Fuente Vaqueros,18079
Cáceres,10,28.6,26.8,1.8,4,Talayuela,10180
Navarra,31,28.9,27.1,1.8,2,Etxarri-Aranatz,31084
Badajoz,6,33.3,31.5,1.8,3,Higuera la Real,6067
Pontevedra,36,33.8,32,1.8,2,Campo Lameiro,36007
Salamanca,37,33.8,32,1.8,3,Guijuelo,37156
Tarragona,43,38.4,36.6,1.8,2,"Pobla de Mafumet, La",43109
Barcelona,8,38.5,36.7,1.8,2,"Papiol, El",8158
Ciudad Real,13,13.9,12,1.9,2,Aldea del Rey,13009
Valencia/Valéncia,46,15.7,13.8,1.9,2,Navarrés,46179
Albacete,2,16.5,14.6,1.9,2,Pozo Cañada,2901
Valencia/Valéncia,46,17.2,15.3,1.9,3,"Pobla Llarga, la",46203
Ciudad Real,13,18.2,16.3,1.9,2,Alcolea de Calatrava,13007
Valencia/Valéncia,46,18.3,16.4,1.9,2,Quatretonda,46104
Granada,18,20.3,18.4,1.9,3,Güejar Sierra,18094
Cádiz,11,20.4,18.5,1.9,2,Castellar de la Frontera,11013
Badajoz,6,21.7,19.8,1.9,2,Usagre,6136
Badajoz,6,23.2,21.3,1.9,2,NA,6903
Ourense,32,24.7,22.8,1.9,3,Coles,32026
"Balears, Illes",7,26.5,24.6,1.9,2,Sineu,7060
León,24,26.5,24.6,1.9,4,Cacabelos,24030
Asturias,33,30.4,28.5,1.9,2,Riosa,33058
Huesca,22,30.6,28.7,1.9,2,Almudévar,22021
Girona,17,32,30.1,1.9,2,"Cellera de Ter, La",17189
Cádiz,11,37.3,35.4,1.9,4,Algodonales,11005
Zaragoza,50,39.2,37.3,1.9,3,"Muela, La",50182
Cantabria,39,14.9,12.9,2,2,San Felices de Buelna,39069
Málaga,29,15.7,13.7,2,2,Benamocarra,29027
Córdoba,14,16.4,14.4,2,2,Torrecampo,14062
Badajoz,6,17.7,15.7,2,3,Barcarrota,6016
Toledo,45,19.1,17.1,2,2,Polán,45133
Navarra,31,20.5,18.5,2,2,Fustiñana,31108
Albacete,2,21.4,19.4,2,2,Ossa de Montiel,2057
Jaén,23,21.9,19.9,2,2,Fuensanta de Martos,23034
Valencia/Valéncia,46,23.2,21.2,2,2,Villar del Arzobispo,46258
Toledo,45,24.5,22.5,2,3,Nambroca,45107
Lleida,25,25,23,2,2,Ivars d'Urgell,25113
Cantabria,39,26.2,24.2,2,3,Ampuero,39002
Soria,42,26.3,24.3,2,2,Arcos de Jalón,42025
Lleida,25,26.4,24.4,2,2,Torregrossa,25230
Málaga,29,26.8,24.8,2,2,Cómpeta,29045
Toledo,45,28.6,26.6,2,3,Mocejón,45102
Toledo,45,29.6,27.6,2,2,Yuncler,45203
Toledo,45,34.4,32.4,2,2,Méntrida,45099
Toledo,45,18.2,16.1,2.1,2,Lillo,45084
Valencia/Valéncia,46,18.9,16.8,2.1,2,Albalat de la Ribera,46008
Córdoba,14,20.4,18.3,2.1,2,Villanueva del Duque,14070
Jaén,23,20.4,18.3,2.1,3,Castellar,23025
Ourense,32,21.8,19.7,2.1,2,Cenlle,32025
Cantabria,39,22.2,20.1,2.1,2,Val de San Vicente,39095
Santa Cruz de Tenerife,38,22.4,20.3,2.1,2,Puntallana,38030
Barcelona,8,24.4,22.3,2.1,2,Prats de Lluçanès,8171
Valencia/Valéncia,46,24.4,22.3,2.1,2,Alfara del Patriarca,46025
Córdoba,14,24.6,22.5,2.1,3,Montemayor,14041
"Coruña, A",15,24.9,22.8,2.1,3,Curtis,15032
Ávila,5,31.9,29.8,2.1,6,Arévalo,5016
Sevilla,41,32.1,30,2.1,5,"Cuervo de Sevilla, El",41903
Araba/Álava,1,33.1,31,2.1,2,Alegría-Dulantzi,1001
Gipuzkoa,20,36.6,34.5,2.1,3,Ibarra,20042
Gipuzcoa,20,36.6,34.5,2.1,3,Ibarra,20042
Zaragoza,50,36.7,34.6,2.1,2,María de Huerva,50163
Lleida,25,37.5,35.4,2.1,2,Alguaire,25016
Lleida,25,38.2,36.1,2.1,2,"Pont de Suert, El",25173
Granada,18,40.2,38.1,2.1,3,Cúllar Vega,18057
Toledo,45,11.8,9.6,2.2,2,"Ventas con Peña Aguilera, Las",45182
Córdoba,14,11.9,9.7,2.2,2,Dos Torres,14023
Valladolid,47,16.9,14.7,2.2,2,Alaejos,47004
Cádiz,11,17.3,15.1,2.2,2,Setenil de las Bodegas,11034
Sevilla,41,20,17.8,2.2,2,"Real de la Jara, El",41080
Cádiz,11,21.7,19.5,2.2,3,Espera,11017
"Coruña, A",15,21.9,19.7,2.2,4,Mesía,15047
Granada,18,21.9,19.7,2.2,2,Cuevas del Campo,18912
Valencia/Valéncia,46,22.6,20.4,2.2,2,Bonrepòs i Mirambell,46074
