provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona
Albacete,2,33.5,25.2,8.3,2,Yeste,2086
Bizkaia,48,35,26.7,8.3,2,Zaratamo,48097
Gipuzkoa,20,36.5,28.2,8.3,2,Aia,20016
Gipuzcoa,20,36.5,28.2,8.3,2,Aia,20016
Bizkaia,48,37.7,29.4,8.3,3,Markina-Xemein,48060
Lleida,25,40.1,31.8,8.3,4,Almacelles,25019
Lugo,27,22.9,14.5,8.4,4,Cervo,27013
Valencia/Valéncia,46,24.9,16.5,8.4,4,Guadassuar,46139
Granada,18,26.2,17.8,8.4,4,Caniles,18039
Valencia/Valéncia,46,31.3,22.9,8.4,8,Alginet,46031
Lugo,27,33.3,24.9,8.4,4,Mondoñedo,27030
Madrid,28,35.3,26.9,8.4,6,San Agustín del Guadalix,28129
Santa Cruz de Tenerife,38,37,28.6,8.4,4,San Andrés y Sauces,38033
Sevilla,41,37.5,29.1,8.4,3,Salteras,41085
Gipuzkoa,20,37.6,29.2,8.4,13,Lasarte-Oria,20902
Gipuzcoa,20,37.6,29.2,8.4,13,Lasarte-Oria,20902
Sevilla,41,40.8,32.4,8.4,3,Aznalcázar,41012
Granada,18,46.7,38.3,8.4,14,Armilla,18021
Granada,18,47.9,39.5,8.4,10,"Zubia, La",18193
Barcelona,8,52.5,44.1,8.4,4,Sant Fost de Campsentelles,8209
Lugo,27,24,15.5,8.5,3,Carballedo,27009
Ciudad Real,13,25.9,17.4,8.5,4,Porzuna,13065
Navarra,31,30.9,22.4,8.5,7,Tafalla,31227
Córdoba,14,34.3,25.8,8.5,11,Villanueva de Córdoba,14069
Gipuzkoa,20,35.6,27.1,8.5,8,Oñati,20059
Gipuzcoa,20,35.6,27.1,8.5,8,Oñati,20059
Valladolid,47,36.2,27.7,8.5,2,Renedo de Esgueva,47133
Pontevedra,36,39.2,30.7,8.5,4,Vilaboa,36058
Barcelona,8,40.8,32.3,8.5,3,Dosrius,8075
Huesca,22,41.3,32.8,8.5,3,Tamarite de Litera,22225
Tarragona,43,41.5,33,8.5,3,Altafulla,43012
Girona,17,47.9,39.4,8.5,5,Puigcerdà,17141
Ciudad Real,13,26.2,17.6,8.6,10,Campo de Criptana,13028
Córdoba,14,28,19.4,8.6,4,Benamejí,14010
Asturias,33,29.2,20.6,8.6,4,Salas,33059
Cantabria,39,29.3,20.7,8.6,3,Ribamontán al Mar,39061
Navarra,31,31,22.4,8.6,3,Cascante,31068
Jaén,23,31.2,22.6,8.6,11,Torredonjimeno,23087
Lugo,27,31.9,23.3,8.6,4,"Fonsagrada, A",27018
Navarra,31,32,23.4,8.6,3,Peralta/Azkoien,31202
Bizkaia,48,37.5,28.9,8.6,2,Plentzia,48077
Barcelona,8,40.4,31.8,8.6,4,Centelles,8067
Asturias,33,40.4,31.8,8.6,14,San Martín del Rey Aurelio,33060
Zaragoza,50,44.2,35.6,8.6,2,Ricla,50225
Asturias,33,44.3,35.7,8.6,8,Gozón,33025
Alicante,3,26.8,18.1,8.7,6,Ondara,3095
Badajoz,6,29.1,20.4,8.7,10,Villafranca de los Barros,6149
Jaén,23,29.1,20.4,8.7,4,Villatorres,23903
Ciudad Real,13,29.2,20.5,8.7,4,Piedrabuena,13063
"Coruña, A",15,30.8,22.1,8.7,5,Miño,15048
Navarra,31,35.5,26.8,8.7,2,Leitza,31149
Araba/Álava,1,36.8,28.1,8.7,7,Amurrio,1002
Girona,17,38,29.3,8.7,3,Tossa de Mar,17202
Valladolid,47,39.3,30.6,8.7,14,Medina del Campo,47085
Tarragona,43,41.9,33.2,8.7,2,Alcover,43005
Girona,17,50.5,41.8,8.7,4,Vilafant,17221
"Balears, Illes",7,52.1,43.4,8.7,6,Formentera,7024
Sevilla,41,52.5,43.8,8.7,5,Palomares del Río,41070
Navarra,31,30.7,21.9,8.8,4,Cintruénigo,31072
Cantabria,39,31,22.2,8.8,3,Bárcena de Cicero,39009
León,24,31.9,23.1,8.8,2,Villarejo de Órbigo,24223
Cádiz,11,34.4,25.6,8.8,7,Olvera,11024
Jaén,23,35,26.2,8.8,8,Mancha Real,23058
Huelva,21,36.5,27.7,8.8,3,Calañas,21017
Madrid,28,38.1,29.3,8.8,8,Villanueva de la Cañada,28176
Asturias,33,39.9,31.1,8.8,8,Piloña,33049
Bizkaia,48,40,31.2,8.8,6,Ortuella,48083
Girona,17,40.9,32.1,8.8,3,Campdevànol,17036
Salamanca,37,41.9,33.1,8.8,13,Béjar,37046
Madrid,28,46.6,37.8,8.8,5,Colmenar de Oreja,28043
Castellón/Castelló,12,28.3,19.4,8.9,7,Segorbe,12104
Valencia/Valéncia,46,30.9,22,8.9,6,Sedaví,46223
Cáceres,10,31,22.1,8.9,5,Moraleja,10128
Santa Cruz de Tenerife,38,33.5,24.6,8.9,4,Garachico,38015
Cáceres,10,34.6,25.7,8.9,5,Valencia de Alcántara,10203
Bizkaia,48,36.9,28,8.9,12,Gernika-Lumo,48046
Teruel,44,37.7,28.8,8.9,6,Andorra,44025
Madrid,28,38.4,29.5,8.9,4,Morata de Tajuña,28091
Jaén,23,38.9,30,8.9,7,Cazorla,23028
Jaén,23,39.2,30.3,8.9,28,Úbeda,23092
Toledo,45,39.8,30.9,8.9,4,Ugena,45176
Bizkaia,48,40.6,31.7,8.9,7,Abanto y Ciérvana-Abanto Zierbena,48002
"Coruña, A",15,40.9,32,8.9,3,Cariño,15901
Jaén,23,41.8,32.9,8.9,11,Torre del Campo,23086
Lleida,25,43.9,35,8.9,4,"Borges Blanques, Les",25058
"Coruña, A",15,45.7,36.8,8.9,19,Culleredo,15031
Ciudad Real,13,28.9,19.9,9,7,Almodóvar del Campo,13015
Málaga,29,30.4,21.4,9,2,Casarabonela,29040
"Coruña, A",15,30.7,21.7,9,4,Vedra,15089
Huelva,21,31.7,22.7,9,3,Bonares,21014
Pontevedra,36,31.9,22.9,9,2,Pontecesures,36044
Badajoz,6,32.3,23.3,9,4,San Vicente de Alcántara,6123
Almería,4,32.9,23.9,9,4,Garrucha,4049
Córdoba,14,33.3,24.3,9,11,Pozoblanco,14054
Cantabria,39,34.6,25.6,9,10,Reinosa,39059
Madrid,28,35.2,26.2,9,6,Villalbilla,28172
"Coruña, A",15,37.8,28.8,9,5,Carral,15021
Granada,18,38.7,29.7,9,2,Moraleda de Zafayona,18138
Madrid,28,39.4,30.4,9,3,Fuente el Saz de Jarama,28059
Barcelona,8,43.1,34.1,9,12,Molins de Rei,8123
Granada,18,43.9,34.9,9,6,Huétor Vega,18101
Ourense,32,29.3,20.2,9.1,2,Ramirás,32068
"Coruña, A",15,30,20.9,9.1,7,Melide,15046
Ourense,32,30.2,21.1,9.1,4,Celanova,32024
Valencia/Valéncia,46,31.3,22.2,9.1,13,Alboraya,46013
"Coruña, A",15,31.4,22.3,9.1,4,Rois,15074
Santa Cruz de Tenerife,38,32.1,23,9.1,5,Villa de Mazo,38053
Huelva,21,32.6,23.5,9.1,6,"Palma del Condado, La",21054
Cádiz,11,37.3,28.2,9.1,6,Bornos,11010
Gipuzkoa,20,38.9,29.8,9.1,9,Azpeitia,20018
Gipuzcoa,20,38.9,29.8,9.1,9,Azpeitia,20018
Santa Cruz de Tenerife,38,39.5,30.4,9.1,15,Güímar,38020
Madrid,28,40.8,31.7,9.1,11,Mejorada del Campo,28084
Granada,18,43.7,34.6,9.1,7,Peligros,18153
Gipuzkoa,20,45.1,36,9.1,4,Lezo,20053
Gipuzcoa,20,45.1,36,9.1,4,Lezo,20053
Barcelona,8,46.1,37,9.1,11,Parets del Vallès,8159
Cantabria,39,26.5,17.3,9.2,2,Guriezo,39030
Ourense,32,28.8,19.6,9.2,2,Vilamartín de Valdeorras,32088
"Coruña, A",15,29.6,20.4,9.2,5,Negreira,15056
"Rioja, La",26,30,20.8,9.2,6,Nájera,26102
Murcia,30,30.8,21.6,9.2,7,Lorquí,30025
Valencia/Valéncia,46,32.5,23.3,9.2,4,San Antonio de Benagéber,46903
Valencia/Valéncia,46,33,23.8,9.2,9,Tavernes Blanques,46237
Sevilla,41,33.2,24,9.2,2,Pruna,41076
Córdoba,14,34.2,25,9.2,10,Aguilar de la Frontera,14002
Sevilla,41,34.4,25.2,9.2,4,Villanueva del Ariscal,41098
Madrid,28,34.8,25.6,9.2,2,Villaconejos,28170
Madrid,28,37,27.8,9.2,4,Torres de la Alameda,28154
"Coruña, A",15,39.2,30,9.2,9,Betanzos,15009
Santa Cruz de Tenerife,38,43.4,34.2,9.2,12,Santa Cruz de la Palma,38037
Granada,18,44.1,34.9,9.2,3,Órgiva,18147
Barcelona,8,44.8,35.6,9.2,3,Teià,8281
Pontevedra,36,29.7,20.4,9.3,8,Silleda,36052
Valencia/Valéncia,46,30.9,21.6,9.3,16,Carcaixent,46083
Tarragona,43,36.2,26.9,9.3,3,Flix,43060
"Coruña, A",15,36.6,27.3,9.3,9,Rianxo,15072
Granada,18,36.7,27.4,9.3,6,Huéscar,18098
Sevilla,41,41.4,32.1,9.3,13,Arahal,41011
Barcelona,8,43.4,34.1,9.3,15,Vilassar de Mar,8219
Granada,18,45.2,35.9,9.3,9,Ogíjares,18145
Córdoba,14,27.5,18.1,9.4,8,Castro del Río,14019
Cáceres,10,33.8,24.4,9.4,3,Alcuéscar,10010
Tarragona,43,35,25.6,9.4,2,Sant Jaume d'Enveja,43902
Navarra,31,35.3,25.9,9.4,3,Castejón,31070
Córdoba,14,35.6,26.2,9.4,7,Rute,14058
Asturias,33,36,26.6,9.4,3,Coaña,33018
Sevilla,41,36,26.6,9.4,7,Tocina,41092
"Palmas, Las",35,39.6,30.2,9.4,12,Santa Brígida,35021
Zaragoza,50,39.7,30.3,9.4,4,Alagón,50008
Barcelona,8,45.5,36.1,9.4,14,"Masnou, El",8118
Barcelona,8,46.8,37.4,9.4,8,Vallirana,8295
Cantabria,39,27.2,17.7,9.5,6,Santa María de Cayón,39074
Castellón/Castelló,12,32,22.5,9.5,8,"Alcora, l'",12005
Murcia,30,32.2,22.7,9.5,13,Santomera,30901
Castellón/Castelló,12,38.2,28.7,9.5,14,Benicarló,12027
Segovia,40,40.7,31.2,9.5,4,"Espinar, El",40076
Bizkaia,48,41,31.5,9.5,20,Durango,48027
Granada,18,41.1,31.6,9.5,10,Albolote,18003
Salamanca,37,41.6,32.1,9.5,4,Villamayor,37354
"Rioja, La",26,42,32.5,9.5,5,Lardero,26084
"Balears, Illes",7,43.8,34.3,9.5,18,Inca,7027
Bizkaia,48,44.9,35.4,9.5,7,Ondarroa,48073
Girona,17,53.5,44,9.5,11,Palafrugell,17117
Jaén,23,16.6,7,9.6,2,Montizón,23062
"Coruña, A",15,28.2,18.6,9.6,6,Mazaricos,15045
Castellón/Castelló,12,28.3,18.7,9.6,2,Cabanes,12033
Valencia/Valéncia,46,30.2,20.6,9.6,7,Picanya,46193
Lugo,27,30.5,20.9,9.6,5,Outeiro de Rei,27039
Sevilla,41,31,21.4,9.6,5,Constantina,41033
Sevilla,41,31.7,22.1,9.6,8,Pilas,41075
Alicante,3,33.1,23.5,9.6,19,Ibi,3079
Barcelona,8,38.1,28.5,9.6,2,Seva,8269
Gipuzkoa,20,39.3,29.7,9.6,2,Zizurkil,20028
Gipuzcoa,20,39.3,29.7,9.6,2,Zizurkil,20028
Barcelona,8,40.8,31.2,9.6,4,Santa Maria de Palautordera,8259
Pontevedra,36,42.4,32.8,9.6,18,Cangas,36008
Barcelona,8,45.7,36.1,9.6,3,Balsareny,8018
Girona,17,48.3,38.7,9.6,2,Santa Cristina d'Aro,17181
Málaga,29,26.9,17.2,9.7,3,Periana,29079
Madrid,28,30.6,20.9,9.7,2,Robledo de Chavela,28125
Alicante,3,33.8,24.1,9.7,7,Sax,3123
Santa Cruz de Tenerife,38,34.5,24.8,9.7,6,"Sauzal, El",38041
Valencia/Valéncia,46,35.3,25.6,9.7,13,Bétera,46070
Palencia,34,37.8,28.1,9.7,5,Venta de Baños,34023
Santa Cruz de Tenerife,38,40.5,30.8,9.7,15,Tacoronte,38043
Asturias,33,40.8,31.1,9.7,12,Lena,33033
Madrid,28,43.1,33.4,9.7,3,"Molar, El",28086
Barcelona,8,44.7,35,9.7,4,Artés,8010
Guadalajara,19,46.7,37,9.7,6,"Casar, El",19071
León,24,26.9,17.1,9.8,3,Camponaraya,24034
Bizkaia,48,27.1,17.3,9.8,5,Zalla,48096
Málaga,29,27.2,17.4,9.8,3,Arriate,29020
Castellón/Castelló,12,28.1,18.3,9.8,3,Almenara,12011
Valencia/Valéncia,46,29.8,20,9.8,9,Benifaió,46060
Valencia/Valéncia,46,30.4,20.6,9.8,20,Xàtiva,46145
Sevilla,41,32.8,23,9.8,7,Guillena,41049
Navarra,31,33.4,23.6,9.8,3,Sangüesa/Zangoza,31216
Sevilla,41,33.8,24,9.8,12,"Viso del Alcor, El",41102
Valladolid,47,34.2,24.4,9.8,6,Tordesillas,47165
Burgos,9,34.3,24.5,9.8,5,Medina de Pomar,9209
Gipuzkoa,20,35.2,25.4,9.8,8,Azkoitia,20017
Gipuzcoa,20,35.2,25.4,9.8,8,Azkoitia,20017
Madrid,28,36.4,26.6,9.8,6,Velilla de San Antonio,28167
Bizkaia,48,36.9,27.1,9.8,5,Abadiño,48001
"Balears, Illes",7,49.4,39.6,9.8,6,Capdepera,7014
Girona,17,54.1,44.3,9.8,5,Calonge,17034
Almería,4,28.2,18.3,9.9,11,Huércal-Overa,4053
Pontevedra,36,28.4,18.5,9.9,5,Meaño,36027
Alicante,3,31.3,21.4,9.9,11,Callosa de Segura,3049
"Coruña, A",15,32.6,22.7,9.9,8,Ortigueira,15061
Pontevedra,36,34,24.1,9.9,8,Tomiño,36054
Sevilla,41,34.7,24.8,9.9,6,Paradas,41071
Lleida,25,39.1,29.2,9.9,3,Vielha e Mijaran,25243
Lugo,27,42.6,32.7,9.9,3,Abadín,27001
Tarragona,43,51.5,41.6,9.9,2,Creixell,43050
"Balears, Illes",7,27.1,17.1,10,2,Sant Joan,7049
Navarra,31,29.1,19.1,10,2,Caparroso,31065
León,24,31.4,21.4,10,2,Benavides,24015
Alicante,3,37.5,27.5,10,11,Sant Joan d'Alacant,3119
Huelva,21,38,28,10,2,Jabugo,21043
Madrid,28,39.1,29.1,10,4,San Martín de Valdeiglesias,28133
"Balears, Illes",7,39.4,29.4,10,9,Sóller,7061
Granada,18,40,30,10,10,Santa Fe,18175
Madrid,28,40,30,10,8,"Escorial, El",28054
Cáceres,10,24.6,14.5,10.1,4,Malpartida de Cáceres,10115
Murcia,30,29.3,19.2,10.1,5,Librilla,30023
Santa Cruz de Tenerife,38,32.2,22.1,10.1,5,"Matanza de Acentejo, La",38025
Pontevedra,36,34.5,24.4,10.1,5,Ponte Caldelas,36043
"Coruña, A",15,35.1,25,10.1,5,"Pino, O",15066
Navarra,31,38.8,28.7,10.1,11,Burlada/Burlata,31060
Toledo,45,38.8,28.7,10.1,3,Casarrubios del Monte,45041
Bizkaia,48,43.7,33.6,10.1,21,Leioa,48054
Sevilla,41,48,37.9,10.1,5,Benacazón,41015
Huelva,21,30.6,20.4,10.2,4,Alosno,21006
Valladolid,47,36,25.8,10.2,2,Mojados,47090
Cádiz,11,36.7,26.5,10.2,10,Villamartín,11041
Asturias,33,42.2,32,10.2,10,Carreño,33014
Sevilla,41,49.3,39.1,10.2,10,Bormujos,41017
Barcelona,8,51.6,41.4,10.2,9,Piera,8161
Valencia/Valéncia,46,23.5,13.2,10.3,9,"Alcúdia, l'",46019
"Palmas, Las",35,32.3,22,10.3,10,Teror,35027
Pontevedra,36,34.4,24.1,10.3,10,Mos,36033
Asturias,33,34.8,24.5,10.3,3,Candamo,33010
"Coruña, A",15,35.4,25.1,10.3,4,Ares,15004
Granada,18,37.3,27,10.3,2,Cortes de Baza,18053
Jaén,23,37.4,27.1,10.3,7,Villanueva del Arzobispo,23097
Barcelona,8,39.2,28.9,10.3,8,Sant Sadurní d'Anoia,8240
Asturias,33,39.5,29.2,10.3,5,Parres,33045
Pontevedra,36,43.6,33.3,10.3,26,Vilagarcía de Arousa,36060
Barcelona,8,44.6,34.3,10.3,2,"Masies de Voltregà, Les",8117
Barcelona,8,45.6,35.3,10.3,7,Sallent,8191
Pontevedra,36,28.7,18.3,10.4,4,Forcarei,36018
Córdoba,14,29.7,19.3,10.4,2,Almedinilla,14004
Valencia/Valéncia,46,31,20.6,10.4,14,Paiporta,46186
Jaén,23,32.4,22,10.4,13,Baeza,23009
Córdoba,14,32.6,22.2,10.4,6,Villa del Río,14066
Huelva,21,33.5,23.1,10.4,2,Manzanilla,21047
Pontevedra,36,35,24.6,10.4,7,Vilanova de Arousa,36061
"Coruña, A",15,37.3,26.9,10.4,6,Ponteceso,15068
Gipuzkoa,20,37.7,27.3,10.4,8,Ordizia,20076
Gipuzcoa,20,37.7,27.3,10.4,8,Ordizia,20076
Cantabria,39,38.9,28.5,10.4,7,Santa Cruz de Bezana,39073
Tarragona,43,39.2,28.8,10.4,2,Camarles,43903
Gipuzkoa,20,43.8,33.4,10.4,11,Andoain,20009
Gipuzcoa,20,43.8,33.4,10.4,11,Andoain,20009
Huelva,21,45.3,34.9,10.4,7,Aracena,21007
Barcelona,8,53.1,42.7,10.4,7,Tordera,8284
Girona,17,43.1,32.6,10.5,3,Celrà,17049
Valencia/Valéncia,46,27.3,16.7,10.6,7,Godella,46135
"Palmas, Las",35,29.8,19.2,10.6,12,Santa María de Guía de Gran Canaria,35023
Sevilla,41,30.5,19.9,10.6,3,Castilblanco de los Arroyos,41027
Córdoba,14,40.6,30,10.6,13,Peñarroya-Pueblonuevo,14052
Valencia/Valéncia,46,41.9,31.3,10.6,13,Requena,46213
Lleida,25,48.2,37.6,10.6,7,"Seu d'Urgell, La",25203
Sevilla,41,51.5,40.9,10.6,3,Alcolea del Río,41006
Tarragona,43,52.4,41.8,10.6,8,Torredembarra,43153
Barcelona,8,54.4,43.8,10.6,4,Torrelles de Llobregat,8289
Valencia/Valéncia,46,29.7,19,10.7,7,Massanassa,46165
Alicante,3,32.8,22.1,10.7,2,Xaló,3081
Cáceres,10,33.6,22.9,10.7,7,Trujillo,10195
Murcia,30,35.3,24.6,10.7,12,Puerto Lumbreras,30033
"Rioja, La",26,42.1,31.4,10.7,8,Haro,26071
Bizkaia,48,44.7,34,10.7,10,Mungia,48069
"Coruña, A",15,47,36.3,10.7,11,Fene,15035
Ourense,32,25.2,14.4,10.8,2,Xunqueira de Ambía,32036
Valencia/Valéncia,46,25.8,15,10.8,7,Albaida,46006
Alicante,3,28.4,17.6,10.8,6,Pego,3102
Cantabria,39,29.3,18.5,10.8,4,San Vicente de la Barquera,39080
Barcelona,8,35.6,24.8,10.8,3,Subirats,8273
Madrid,28,35.6,24.8,10.8,3,Serranillos del Valle,28140
Zamora,49,35.8,25,10.8,8,Toro,49219
Madrid,28,37.7,26.9,10.8,9,Algete,28009
Toledo,45,38.8,28,10.8,8,Sonseca,45163
Huesca,22,41.9,31.1,10.8,8,Jaca,22130
Asturias,33,43.4,32.6,10.8,13,Corvera de Asturias,33020
Sevilla,41,43.6,32.8,10.8,14,Tomares,41093
Girona,17,44.1,33.3,10.8,8,Ripoll,17147
Barcelona,8,47.7,36.9,10.8,2,Masquefa,8119
Lleida,25,48.8,38,10.8,6,Mollerussa,25137
Barcelona,8,52,41.2,10.8,8,Torelló,8285
Castellón/Castelló,12,24.5,13.6,10.9,2,Chilches/Xilxes,12053
"Coruña, A",15,34.6,23.7,10.9,6,Arzúa,15006
Asturias,33,34.7,23.8,10.9,10,Llanes,33036
Pontevedra,36,34.8,23.9,10.9,3,Agolada,36020
Ciudad Real,13,35.4,24.5,10.9,7,Bolaños de Calatrava,13023
"Balears, Illes",7,39.3,28.4,10.9,11,Felanitx,7022
Barcelona,8,43,32.1,10.9,3,Capellades,8044
Bizkaia,48,43.4,32.5,10.9,7,Etxebarri,48029
Asturias,33,48.9,38,10.9,12,Cangas del Narcea,33011
Valencia/Valéncia,46,28.3,17.3,11,2,Miramar,46168
"Coruña, A",15,35.1,24.1,11,9,Porto do Son,15071
Madrid,28,35.7,24.7,11,5,Villarejo de Salvanés,28180
Ciudad Real,13,41.5,30.5,11,21,Valdepeñas,13087
Bizkaia,48,42.8,31.8,11,8,Arrigorriaga,48011
Lleida,25,44.5,33.5,11,11,Tàrrega,25217
Santa Cruz de Tenerife,38,44.5,33.5,11,13,"Llanos de Aridane, Los",38024
Granada,18,46.1,35.1,11,8,Churriana de la Vega,18062
Cádiz,11,29,17.9,11.1,9,Medina-Sidonia,11023
Ourense,32,31,19.9,11.1,7,Xinzo de Limia,32032
Córdoba,14,35.5,24.4,11.1,8,Montoro,14043
Madrid,28,38.4,27.3,11.1,5,Brunete,28026
Huesca,22,39.2,28.1,11.1,11,Barbastro,22048
Sevilla,41,55.5,44.4,11.1,18,Camas,41021
Santa Cruz de Tenerife,38,27.1,15.9,11.2,6,San Sebastián de la Gomera,38036
Madrid,28,34.8,23.6,11.2,5,Valdemorillo,28160
"Coruña, A",15,37.9,26.7,11.2,10,Noia,15057
Lleida,25,41.4,30.2,11.2,5,Cervera,25072
Gipuzkoa,20,42,30.8,11.2,11,Bergara,20074
Gipuzcoa,20,42,30.8,11.2,11,Bergara,20074
"Balears, Illes",7,44.4,33.2,11.2,5,Andratx,7005
Tarragona,43,45.6,34.4,11.2,10,Sant Carles de la Ràpita,43136
Cantabria,39,28,16.7,11.3,4,Campoo de Enmedio,39027
Cáceres,10,30.7,19.4,11.3,9,Coria,10067
Murcia,30,33.9,22.6,11.3,9,Calasparra,30013
Valencia/Valéncia,46,34.8,23.5,11.3,17,Moncada,46171
Córdoba,14,37.4,26.1,11.3,15,Cabra,14013
Alicante,3,39.7,28.4,11.3,7,Jijona/Xixona,3083
Asturias,33,40.5,29.2,11.3,3,Colunga,33019
"Coruña, A",15,44.4,33.1,11.3,14,Boiro,15011
Pontevedra,36,46,34.7,11.3,10,Bueu,36004
Barcelona,8,47.8,36.5,11.3,8,Palau-solità i Plegamans,8156
Murcia,30,30.1,18.7,11.4,10,Beniel,30010
Granada,18,32.1,20.7,11.4,5,Alhama de Granada,18013
"Palmas, Las",35,38.2,26.8,11.4,7,Tuineje,35030
León,24,40,28.6,11.4,7,Astorga,24008
Granada,18,41.5,30.1,11.4,3,Gójar,18084
Barcelona,8,47.7,36.3,11.4,6,Llinars del Vallès,8106
Barcelona,8,48.8,37.4,11.4,9,"Llagosta, La",8105
"Coruña, A",15,33.6,22.1,11.5,5,Cee,15023
Toledo,45,37.5,26,11.5,2,Camarena,45031
Pontevedra,36,40.8,29.3,11.5,13,Sanxenxo,36051
Barcelona,8,42.9,31.4,11.5,6,Viladecavalls,8300
"Palmas, Las",35,43.1,31.6,11.5,4,Tinajo,35029
Toledo,45,45.7,34.2,11.5,11,Seseña,45161
Toledo,45,47.5,36,11.5,2,"Viso de San Juan, El",45199
Murcia,30,27.1,15.5,11.6,6,Fortuna,30020
Alicante,3,37.3,25.7,11.6,23,Novelda,3093
"Coruña, A",15,39.1,27.5,11.6,8,Muros,15053
Córdoba,14,39.8,28.2,11.6,6,Posadas,14053
Bizkaia,48,43.5,31.9,11.6,11,Valle de Trápaga-Trapagaran,48080
León,24,44.8,33.2,11.6,19,San Andrés del Rabanedo,24142
Barcelona,8,44.9,33.3,11.6,4,Sant Esteve Sesrovires,8208
Huesca,22,46.4,34.8,11.6,10,Fraga,22112
Alicante,3,46.8,35.2,11.6,2,Finestrat,3069
Huelva,21,48.5,36.9,11.6,11,Aljaraque,21002
Lleida,25,53.2,41.6,11.6,4,Alcarràs,25011
Pontevedra,36,31.6,19.9,11.7,15,Lalín,36024
Pontevedra,36,33,21.3,11.7,12,Tui,36055
Tarragona,43,41.3,29.6,11.7,2,Banyeres del Penedès,43020
Barcelona,8,43.2,31.5,11.7,2,Monistrol de Montserrat,8127
Asturias,33,43.6,31.9,11.7,11,Aller,33002
Málaga,29,31.2,19.4,11.8,3,Villanueva de la Concepción,29902
Cádiz,11,36.5,24.7,11.8,13,Ubrique,11038
Cádiz,11,40,28.2,11.8,9,Vejer de la Frontera,11039
Girona,17,48.8,37,11.8,11,Palamós,17118
Barcelona,8,49,37.2,11.8,5,"Roca del Vallès, La",8181
Santa Cruz de Tenerife,38,26.4,14.5,11.9,7,"Victoria de Acentejo, La",38051
Valencia/Valéncia,46,28.8,16.9,11.9,7,Benaguasil,46051
Valencia/Valéncia,46,32.6,20.7,11.9,16,Sueca,46235
Valencia/Valéncia,46,33.6,21.7,11.9,12,Puçol,46205
Alicante,3,38.2,26.3,11.9,26,Petrer,3104
Valencia/Valéncia,46,38.3,26.4,11.9,17,Alfafar,46022
Lugo,27,38.4,26.5,11.9,6,Ribadeo,27051
Jaén,23,38.7,26.8,11.9,5,Santiago-Pontones,23904
Madrid,28,43.1,31.2,11.9,5,Meco,28083
Araba/Álava,1,43.5,31.6,11.9,13,Laudio/Llodio,1036
"Balears, Illes",7,44.7,32.8,11.9,15,Maó,7032
Barcelona,8,48.5,36.6,11.9,4,Sant Antoni de Vilamajor,8198
Navarra,31,35.6,23.6,12,11,Barañain,31901
Pontevedra,36,36.4,24.4,12,7,"Grove, O",36022
Córdoba,14,40.8,28.8,12,9,"Carlota, La",14017
Granada,18,45.6,33.6,12,16,Baza,18023
Barcelona,8,50.2,38.2,12,23,Barberà del Vallès,8252
Barcelona,8,50.4,38.4,12,5,"Ametlla del Vallès, L'",8005
"Balears, Illes",7,23.6,11.5,12.1,3,Selva,7058
Castellón/Castelló,12,31.9,19.8,12.1,24,"Vall d'Uixó, la",12126
Lugo,27,32.5,20.4,12.1,7,Foz,27019
"Palmas, Las",35,32.7,20.6,12.1,6,Moya,35013
"Balears, Illes",7,35,22.9,12.1,5,Campos,7013
Toledo,45,35.3,23.2,12.1,6,Fuensalida,45066
Ourense,32,39.6,27.5,12.1,9,Verín,32085
Barcelona,8,47.9,35.8,12.1,6,Premià de Dalt,8230
Sevilla,41,50,37.9,12.1,11,Marchena,41060
Barcelona,8,52.3,40.2,12.1,12,Badia del Vallès,8904
"Coruña, A",15,29.6,17.4,12.2,10,Ordes,15059
Alicante,3,33.7,21.5,12.2,5,Gata de Gorgos,3071
Huelva,21,36.7,24.5,12.2,8,Bollullos Par del Condado,21013
Almería,4,37.6,25.4,12.2,3,Viator,4101
Tarragona,43,40.5,28.3,12.2,12,Amposta,43014
Madrid,28,40.8,28.6,12.2,8,Paracuellos de Jarama,28104
León,24,44.7,32.5,12.2,46,Ponferrada,24115
Barcelona,8,45.1,32.9,12.2,5,Santa Coloma de Cervelló,8244
Barcelona,8,47,34.8,12.2,2,"Torre de Claramunt, La",8286
Barcelona,8,47.9,35.7,12.2,7,Abrera,8001
Barcelona,8,50.8,38.6,12.2,6,Sant Andreu de Llavaneres,8197
León,24,29.9,17.6,12.3,2,Santa Marina del Rey,24159
Valencia/Valéncia,46,32.1,19.8,12.3,14,Tavernes de la Valldigna,46238
Pontevedra,36,36.4,24.1,12.3,9,Gondomar,36021
Madrid,28,38,25.7,12.3,8,Humanes de Madrid,28073
Barcelona,8,43.2,30.9,12.3,4,Súria,8274
Alicante,3,32.7,20.3,12.4,3,Agost,3002
Valencia/Valéncia,46,35.3,22.9,12.4,8,Massamagrell,46164
Asturias,33,38.7,26.3,12.4,11,Llanera,33035
Toledo,45,40.9,28.5,12.4,15,Illescas,45081
Pontevedra,36,42.8,30.4,12.4,3,"Lama, A",36025
Barcelona,8,45.7,33.3,12.4,4,Sant Fruitós de Bages,8213
Girona,17,48.2,35.8,12.4,6,Santa Coloma de Farners,17180
Barcelona,8,52.4,40,12.4,10,Lliçà d'Amunt,8107
Ourense,32,28.3,15.8,12.5,2,Taboadela,32079
Ourense,32,34.8,22.3,12.5,3,Boborás,32013
